league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions,home_possession,home_formation,home_opp_formation,away_possession,away_formation,away_opp_formation
3,2021,17812,2022-05-08 15:30:00,117,133,Bayern Munich,Stuttgart,STU,BAY,1,0.8426,2,1.95837,1.95837,-0.8162799999999999,27.176470588235293,1,1,1.9457,2,2.77465,2.77465,0.8162799999999999,5.333333333333333,17,0.75,4-2-3-1,03/04/2003,0.25,03/04/2003,4-2-3-1
3,2021,17811,2022-05-08 17:30:00,136,121,RB Leipzig,Augsburg,AUG,RBL,0,0.0215999999999999,0,0.173579,0.173579,-2.506541,23.55,2,3,2.961,4,3.4379,2.68012,2.506541,15.588235294117649,11,0.65,03/04/2003,03/04/2003,0.35,03/04/2003,03/04/2003
3,2021,17813,2022-05-14 13:30:00,262,136,Arminia Bielefeld,RB Leipzig,RBL,ARM,1,2.5238,1,3.45794,3.45794,1.7882199999999997,19.4,14,1,0.3383,1,1.66972,1.66972,-1.7882199999999997,22.235294117647054,4,0.42,04/03/2003,03/04/2003,0.58,03/04/2003,04/03/2003
3,2021,17814,2022-05-14 13:30:00,121,267,Augsburg,Greuther Furth,GRE,AUG,0,0.4810999999999999,1,0.337532,0.337532,-0.076716,6.515151515151516,2,3,2.2541,2,1.17202,0.414248,0.076716,6.212121212121212,4,0.5,03/04/2003,03/05/2002,0.51,03/05/2002,03/04/2003
3,2021,17815,2022-05-14 13:30:00,125,132,Mainz,Eintracht Frankfurt,EIN,MAI,1,2.1095,2,1.70213,1.70213,0.851748,10.958333333333334,4,1,0.6520999999999999,2,0.850382,0.850382,-0.851748,10.807692307692308,5,0.49,03/04/2003,03/04/2003,0.51,03/04/2003,03/04/2003
3,2021,17816,2022-05-14 13:30:00,133,134,Stuttgart,Koln,COL,STU,0,0.1214,1,1.11893,1.11893,-1.96006,8.571428571428571,6,3,2.8193,2,3.83676,3.07899,1.96006,10.607142857142858,7,0.35,04/03/2003,4-2-3-1,0.65,4-2-3-1,04/03/2003
3,2021,17817,2022-05-14 13:30:00,130,120,Borussia Monchengladbach,Hoffenheim,HOF,BMG,0,0.3825,1,1.92751,1.92751,-1.1430299999999998,18.545454545454547,6,3,2.4897,5,3.82831,3.07054,1.1430299999999998,28.272727272727273,8,0.55,4-2-3-1,3-1-4-2,0.45,3-1-4-2,4-2-3-1
3,2021,17818,2022-05-14 13:30:00,240,268,Union Berlin,Bochum,BOC,UNI,0,0.0514,2,0.391265,0.391265,-2.2256349999999996,7.392857142857143,4,3,2.9158,3,3.37468,2.6169,2.2256349999999996,18.72222222222222,10,0.43,03/05/2002,3-4-1-2,0.57,3-4-1-2,03/05/2002
3,2021,17819,2022-05-14 13:30:00,119,135,Bayer Leverkusen,Freiburg,FRE,LEV,0,0.8598000000000001,1,1.1463,1.1463,-0.6751199999999999,11.423076923076923,9,3,1.8864,2,1.82142,1.82142,0.6751199999999999,14.571428571428571,4,0.52,04/04/2002,4-4-1-1,0.48,4-4-1-1,04/04/2002
3,2021,17820,2022-05-14 13:30:00,131,117,Wolfsburg,Bayern Munich,BAY,WOL,1,2.0163,2,2.07091,2.07091,0.92979,6.40625,20,1,0.75,2,1.14112,1.14112,-0.92979,21.842105263157897,4,0.34,04/04/2002,3-2-4-1,0.67,3-2-4-1,04/04/2002
3,2021,17821,2022-05-14 13:30:00,129,122,Borussia Dortmund,Hertha Berlin,HER,DOR,0,0.8341,1,0.876533,0.118756,-0.450361,26.9375,1,3,1.7635,2,1.32689,0.569117,0.450361,4.857142857142857,5,0.74,03/04/2003,4-2-3-1,0.26,4-2-3-1,03/04/2003
3,2022,19342,2022-08-05 18:30:00,132,117,Eintracht Frankfurt,Bayern Munich,BAY,EIN,3,2.9499,6,4.56023,4.56023,3.804054,8.173913043478262,12,0,0.0317999999999999,1,0.756176,0.756176,-3.804054,31.846153846153847,3,0.37,03/04/2003,04/04/2002,0.63,04/04/2002,03/04/2003
3,2022,19343,2022-08-06 13:30:00,240,122,Union Berlin,Hertha Berlin,HER,UNI,0,0.6065,1,0.350984,0.350984,-0.8316460000000001,15.833333333333334,1,3,2.0966,3,1.18263,1.18263,0.8316460000000001,5.9743589743589745,10,0.48,03/05/2002,04/03/2003,0.52,04/03/2003,03/05/2002
3,2022,19344,2022-08-06 13:30:00,130,120,Borussia Monchengladbach,Hoffenheim,HOF,BMG,0,0.1436,1,0.119138,0.119138,-1.955422,18.8,3,3,2.7473,3,2.07456,2.07456,1.955422,9.961538461538462,21,0.62,4-2-3-1,03/05/2002,0.38,03/05/2002,4-2-3-1
